nome,fonte,unidade,tipo_unidade,codigo_estado,estado,codigo_municipio,municipio,ano_1974,ano_1975,ano_1976,ano_1977,ano_1978,ano_1979,ano_1980,ano_1981,ano_1982,ano_1983,ano_1984,ano_1985,ano_1986,ano_1987,ano_1988,ano_1989,ano_1990,ano_1991,ano_1992,ano_1993,ano_1994,ano_1995,ano_1996,ano_1997,ano_1998,ano_1999,ano_2000,ano_2001,ano_2002,ano_2003,ano_2004,ano_2005,ano_2006,ano_2007,ano_2008,ano_2009,ano_2010,ano_2011,ano_2012,ano_2013,ano_2014,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1101005,Governador Jorge Teixeira,,,,,,,,,,,,,,,,,,,,55,1091,0,,0,3838,1388,0,6854,174708,305385,99182,358961,222564,216774,155706,326784,578919,484638,449711,370207,,1123509,305725,674417,502776,405899,692303,464766,1385361,1480632
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1101104,Itapuã do Oeste,,,,,,,,,,,,,,,,,,,,57,0,0,,0,117930,133915,0,147425,333966,6000,770,106203,138940,181883,41808,43661,701199,824665,253788,642937,169643,73032,38134,459860,222939,180860,221685,178167,300809,426417
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1101203,Ministro Andreazza,,,,,,,,,,,,,,,,,,,,156,3100,0,,13652,0,0,0,,188387,42698,53247,115941,551540,513732,230608,565856,232841,327474,865126,594452,1420973,721674,389458,284299,127442,382729,366709,718805,1187220,1019083
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1101302,Mirante da Serra,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,,19167,0,430304,269216,146218,,636,0,487147,233143,982509,481537,0,170009,171170,139416,180755,266678,345725,390217,412791,1031169,3314597,2016231
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1101401,Monte Negro,,,,,,,,,,,,,,,,,,,,0,2853,23176,,0,,,33518,30229,23962,21106,258884,158673,26838,284801,247201,52397,319450,71286,15807,275044,272597,93639,339002,95263,304814,259599,240683,456907,2193019,2332398
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1101435,Nova União,,,,,,,,,,,,,,,,,,,,,,,,752,,,168240,0,1100,0,,,185140,0,648000,129900,90000,0,0,0,40365,0,0,226293,98000,126987,684,43958,79999,227381
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1101450,Parecis,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,12056,25298,65816,76029,0,58763,198301,406683,662339,98236,1327294,578632,185187,860081,165843,187181,164599,154016,1344157,1054279
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1101468,Pimenteiras do Oeste,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,124425,181119,121120,205511,0,0,0,0,0,0,0,6485,4250,4060,650,97779,54141,484275,939284,1218309,1711026,1315202
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1101476,Primavera de Rondônia,,,,,,,,,,,,,,,,,,,,,,,,2060,0,3318,11566,33944,91400,13551,47579,0,129539,11076,119205,70000,149770,0,0,0,23062,568326,154367,216605,266173,280694,94790,128556,305228,119374
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1101484,São Felipe D'Oeste,,,,,,,,,,,,,,,,,,,,,,,,0,133316,182823,288947,158237,482335,11777,10000,2765,25000,0,44800,110750,29600,78268,117420,717129,813357,819082,534012,341298,502263,655961,622785,1193069,2080195,1946354
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1101492,São Francisco do Guaporé,,,,,,,,,,,,,,,,,,,,,,,,5826,,,0,0,169139,58134,126688,437903,432099,325682,281551,569973,643727,719401,793167,615469,2397345,941401,1439853,1589284,1670336,1565810,1316242,2865184,6287708,6580347
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1101500,Seringueiras,,,,,,,,,,,,,,,,,,,,48,2566,1389,,0,,,150000,0,219092,80932,324988,180661,472151,501165,323110,149338,780619,433834,1019293,147812,1955413,787427,876294,652038,715297,1092712,721108,1535748,2055836,4249755
"Despesa por função - gestão ambiental, agricultura e organização agrária",Ministério da Fazenda - STN,R$,Município,11,Rondônia,1101559,Teixeirópolis,,,,,,,,,,,,,,,,,,,,,,,,4865,78944,206807,1800,0,0,0,98370,22594,297739,167359,152118,944010,711644,154002,227920,688154,419488,467527,260019,173667,882589,131880,103598,143805,602057,1417830
